date, pm25, pm10, o3, no2, so2
12/04/2021,36, ,26,16, 
13/04/2021, ,17,26,13, 
14/04/2021,40,12,26,10, 
15/04/2021,34,21,36,16, 
16/04/2021,55, ,41,11, 
17/04/2021, ,11,46,8, 
18/04/2021,30,14,35,8, 
19/04/2021,35,9,34,7, 
20/04/2021,17,9,25,15, 
21/04/2021,19,15,28,16, 
22/04/2021,27,18,24,13, 
23/04/2021,29,19,32,6, 
24/04/2021,39,13,37,5, 
25/04/2021,25,12,21,11, 
26/04/2021,25,10,36,11, 
27/04/2021,20,14,40,12, 
28/04/2021,24,10,38,9, 
29/04/2021,18,6,40,10, 
30/04/2021,18, ,37,6, 
01/05/2021, ,5,39,6, 
02/05/2021,16,10,40,8, 
03/05/2021,17,12,41,6, 
04/05/2021,31,8,31,4, 
05/05/2021,15,7,28,5, 
06/05/2021,15, ,28,5, 
07/05/2021, , ,20,9, 
08/05/2021, ,7,33,5, 
09/05/2021,18,15,29,14, 
10/05/2021,20,16,29,17, 
11/05/2021,16,17,31,8, 
12/05/2021,30,18,26,13, 
13/05/2021,22,16,30,9, 
14/05/2021,21,10,21,4, 
15/05/2021,15,8,9,3, 
16/05/2021,17,8,20,6, 
17/05/2021,17,14,32,7,1
18/05/2021,19,11,36,6, 
19/05/2021,16,14,38,8, 
20/05/2021,18,9,28,5, 
21/05/2021,22, ,34,5, 
22/05/2021, ,9,36,3, 
23/05/2021,15,13,36,6, 
24/05/2021,17,19,36,6, 
25/05/2021,33,24,35,8, 
26/05/2021,55,16,37,8, 
27/05/2021,39,18,38,8, 
28/05/2021,37,17,34,5, 
29/05/2021,50,15,38,4, 
30/05/2021,54,22,37,15, 
31/05/2021,48, ,27,18, 
01/06/2021, , ,16,24, 
02/06/2021, ,9,32,3, 
03/06/2021,19,10,35,4, 
04/06/2021,19, , , , 
05/06/2021, , ,32,4, 
06/06/2021, ,14,32,6,1
07/06/2021,41, ,30,4, 
08/06/2021, ,16,31,8, 
09/06/2021,38, ,28,4, 
11/06/2021, , ,36,12, 
12/06/2021, ,15,37,9, 
13/06/2021,37,19,41,16, 
14/06/2021,38, ,18,20, 
15/06/2021, , ,35,11, 
16/06/2021, ,19,27,9, 
17/06/2021,48,11,25,8, 
18/06/2021,16,9,28,6, 
19/06/2021,20,9,28,5, 
20/06/2021,21,13,27,8, 
21/06/2021,24, ,33,6, 
22/06/2021, ,15,35,5,1
23/06/2021,37,17,42,13, 
24/06/2021,39,20,46,22, 
25/06/2021,41,10,37,5, 
26/06/2021,29,6,27,1, 
27/06/2021,15,12,32,4,1
28/06/2021,15,11,31,4, 
29/06/2021,30,11,30,4, 
30/06/2021,30,14,30,9, 
01/07/2021,32,14,22,9, 
02/07/2021,27,8,23,5, 
03/07/2021,30,7,25,2, 
04/07/2021,14,10,18,7, 
05/07/2021,21,9,26,6, 
06/07/2021,16,12,23,5, 
07/07/2021,22,13,28,5, 
08/07/2021,21,15,36,6, 
09/07/2021,32,15,57,7, 
10/07/2021,36,12,28,3,1
11/07/2021,26,11,25,4, 
12/07/2021,30,11,21,4, 
13/07/2021,22,14,37,7, 
14/07/2021,32,23,37,20, 
15/07/2021,42,29,47,28, 
16/07/2021,50,17,42,8, 
17/07/2021,30,13,32,2, 
18/07/2021,20,9,34,3, 
19/07/2021,13,16,36,5, 
20/07/2021,15,14,36,6, 
21/07/2021,20,12,31,7, 
22/07/2021,24,8,25,4, 
23/07/2021,17, ,27,3, 
24/07/2021, , ,16,3, 
25/07/2021, ,5,36,4, 
26/07/2021,15,9,32,4,9
27/07/2021,23,16,33,5, 
28/07/2021,20,19,30,4, 
29/07/2021,36,10,23,3, 
30/07/2021,14, ,26,2, 
31/07/2021, ,8,23,2, 
01/08/2021,34,5,28,4, 
02/08/2021,28,15,34,4, 
03/08/2021,18,6,23,3, 
04/08/2021,18,13,26,4, 
05/08/2021,19,12,28,5, 
06/08/2021,23,10,27,3, 
07/08/2021,30,8,31,2, 
08/08/2021,21,11,32,5, 
09/08/2021,23,11,32,5, 
10/08/2021,24,13,31,5, 
11/08/2021,29,16,30,6, 
12/08/2021,32,12,40,8, 
13/08/2021,40,15,37,8, 
14/08/2021,31,12,34,4, 
15/08/2021,30,18,37,5, 
16/08/2021,42,17,36,6, 
17/08/2021,37,19,38,6, 
18/08/2021,38,14,36,4, 
19/08/2021,36,12,29,5, 
20/08/2021,18,5,24,4, 
21/08/2021,16,7,31,2, 
22/08/2021,19,14,34,11, 
23/08/2021,30,25,29,13, 
24/08/2021,53,31,34,10, 
25/08/2021,56,20,29,13, 
26/08/2021,49,24,32,15, 
27/08/2021,45,22,31,7, 
28/08/2021,40,7,25,6, 
29/08/2021,26,16,24,11, 
30/08/2021,23,16,22,10, 
31/08/2021,29,16,31,12, 
01/09/2021,31,12,32,9, 
02/09/2021,17,13,36,8, 
03/09/2021,17,12,38,13, 
04/09/2021,23,24,41,16, 
05/09/2021,40,23,27,12, 
06/09/2021,48,16,27,9, 
07/09/2021,17,19,22,14, 
08/09/2021,17,13,28,12, 
09/09/2021,17,11,22,12, 
10/09/2021,19,9,26,10, 
11/09/2021,17,9,26,9, 
12/09/2021,17,14,26,9, 
13/09/2021,26,11,30,14, 
14/09/2021,11,15,23,18, 
15/09/2021,20,16,33,8, 
16/09/2021,20,13,29,7, 
17/09/2021,17,8,32,5, 
18/09/2021,16,6,36,4, 
19/09/2021,16,11,31,7, 
20/09/2021,19,8,29,9, 
21/09/2021,15,14,33,10,16
22/09/2021,19,7,37,11, 
23/09/2021,19,15,32,19, 
24/09/2021,29, ,32,17,1
25/09/2021, ,23,27,16, 
26/09/2021,45,17,22,19, 
27/09/2021,28,7,32,8, 
28/09/2021,20,5,31,9, 
29/09/2021,20,15,33,11, 
30/09/2021,30,12,25,9, 
01/10/2021,33,7,20,8, 
02/10/2021,21, ,34,5,1
03/10/2021, ,19,23,16, 
04/10/2021,22, ,21,12, 
05/10/2021, ,3,22,21, 
06/10/2021,15,19,27,22, 
07/10/2021,40,18,31,28, 
08/10/2021,51, ,30,10, 
09/10/2021, , ,31,17, 
10/10/2021, ,15,31,12,1
11/10/2021,41,14,30,22, 
12/10/2021,33,23,24,32, 
13/10/2021,46,27,18,41, 
14/10/2021,50,32,30,38, 
15/10/2021,51,17,29,23,1
16/10/2021,49,14,5,16, 
17/10/2021,46,28,14,26, 
18/10/2021,64,26,26,26, 
19/10/2021,58,34,18,24, 
20/10/2021,70,18,29,14, 
21/10/2021,26,10,27,11, 
22/10/2021,23, ,26,21, 
23/10/2021, ,15,30,21,1
24/10/2021,39,10,26,13, 
25/10/2021,27,10,23,21, 
26/10/2021,17,27,25,37, 
27/10/2021,47,46,30,30, 
28/10/2021,68,20,27,17, 
29/10/2021,37, ,21,11, 
30/10/2021, ,47,20,5, 
01/11/2021,54,6,23,13, 
02/11/2021,24,17,24,27, 
03/11/2021,37,8,24,22, 
04/11/2021,14,12,26,20, 
05/11/2021,20,8,23,17, 
06/11/2021,18, ,25,18, 
07/11/2021, ,9,25,17, 
08/11/2021,35,15,17,25, 
09/11/2021,38,22,19,24, 
10/11/2021,49,19,14,30,15
11/11/2021,52,29,30,24, 
12/11/2021,61,20,25,21, 
13/11/2021,50,26,19,29, 
14/11/2021,76, ,21,23, 
15/11/2021, ,22,13,29, 
16/11/2021,53,12,20,19, 
17/11/2021,37,9,22,13, 
18/11/2021,24,8,21,10, 
19/11/2021,27,9,18,12, 
20/11/2021,23, , , , 
22/11/2021, ,12,24,15, 
23/11/2021,30,10,19,17, 
24/11/2021,18,18,25,18, 
25/11/2021,32,9,26,17,1
26/11/2021,29,17,21,16, 
27/11/2021,41, ,28,13, 
28/11/2021, ,11,29,13, 
29/11/2021,26,7,28,16, 
30/11/2021,15,18,16,33, 
01/12/2021,43, ,28,20, 
02/12/2021, ,6,25,9, 
03/12/2021,18,9,21,17,1
04/12/2021,22, ,21,21, 
05/12/2021, , ,30,16, 
06/12/2021, ,14,22,27, 
07/12/2021,24,13,24,24, 
08/12/2021,32,11,29,8, 
09/12/2021,20,13,25,14, 
10/12/2021,22,7,27,11, 
11/12/2021,19,6,27,9, 
12/12/2021,20,13,13,18, 
13/12/2021,42,13,12,21, 
14/12/2021,31,14,14,18, 
15/12/2021,36,15,13,23,1
16/12/2021,38,18,17,20,12
17/12/2021,49,8,17,14, 
18/12/2021,30, ,17,12, 
19/12/2021, , ,22,10, 
20/12/2021, ,24,21,14, 
21/12/2021,51,39,22,15, 
22/12/2021,71,19,17,18, 
23/12/2021,42,9,17,20, 
24/12/2021,18, ,23,14, 
25/12/2021, ,14,24,5, 
26/12/2021, ,9,21,6, 
27/12/2021, ,24,18,12, 
28/12/2021,101,20,18,14, 
29/12/2021,36,7,14,17, 
30/12/2021,25,30,11,11, 
31/12/2021,40,18,7,17, 
01/01/2022,52, ,16,14, 
02/01/2022, ,45,7,16, 
03/01/2022,77,12,14,14, 
04/01/2022,40,13,22,12, 
05/01/2022,35,10,18,16, 
06/01/2022,22,14,18,16, 
07/01/2022,22,11,19,10, 
08/01/2022,15, ,13,20,1
09/01/2022, ,7,23,11, 
10/01/2022,22,7,18,10, 
11/01/2022,15,9,13,16, 
12/01/2022,17,8,12,12, 
13/01/2022,30,8,13,14, 
14/01/2022,15,8,13,12, 
15/01/2022,24, , , , 
16/01/2022, ,25,13,16, 
17/01/2022,56,16,13,20, 
18/01/2022,50,20,13,22, 
19/01/2022,63,27,10,29, 
20/01/2022,63,37,11,28, 
21/01/2022,82,19,14,19, 
22/01/2022,50,8,17,9, 
23/01/2022,32,9,17,9, 
24/01/2022,32,9,15,14,1
25/01/2022,24,10,15,15, 
26/01/2022,29,11,16,13, 
27/01/2022,28,16,18,11, 
28/01/2022,41,19,17,12, 
29/01/2022,33, ,19,9, 
