temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,Ozono (µg/m3),Dióxido de Azoto (µg/m3),Óxidos de Azoto (µg/m3),Monóxido de Azoto (µg/m3),pollen_intensity,Clear,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",tem amplitude,temp cahnge,temp cahnge2,risk level
14.2,18.4,11.0,14.2,8.3,69.6,0.0,0.0,0.0,24.3,1021.3,11.7,12.1,262.1,22.7,9.0,77.0,14.1,16.0,0.8500000000000001,2.0,1.0,0.0,0.0,0.0,0.0,7.399999999999999,0.5,0.3999999999999986,0
15.9,19.0,13.6,15.9,12.5,80.8,0.115,100.0,8.33,18.8,1020.3,6.8,11.0,122.7,10.9,4.0,60.0,7.65,8.65,0.4,4.0,0.0,0.0,1.0,0.0,0.0,5.4,0.8000000000000007,1.700000000000001,0
17.3,21.4,15.5,17.3,15.6,90.1,0.869,100.0,29.17,14.6,1017.5,7.8,6.7,132.8,11.4,5.0,39.5,5.7,6.9,0.55,4.0,0.0,0.0,1.0,0.0,0.0,5.899999999999999,1.4000000000000004,2.200000000000001,1
14.7,21.3,10.9,14.7,9.6,73.7,0.0,0.0,0.0,22.2,1015.8,10.5,11.4,262.7,22.6,8.0,85.0,13.75,16.9,0.6,4.0,1.0,0.0,0.0,0.0,0.0,10.4,-1.1000000000000014,-2.6000000000000014,1
14.0,17.5,11.9,14.0,11.4,84.4,5.948,100.0,16.67,14.8,1015.4,5.6,10.8,126.6,11.0,5.0,64.0,13.85,14.65,0.7,3.0,0.0,0.0,1.0,0.0,0.0,5.6,-1.0,-0.3000000000000007,0
16.4,21.4,11.2,16.4,11.3,73.3,2.881,100.0,12.5,23.4,1004.3,13.2,9.4,217.1,18.6,8.0,110.0,8.5,8.85,0.3,3.0,0.0,0.0,1.0,0.0,0.0,10.2,-1.9000000000000021,-1.7000000000000028,1
11.6,15.9,5.8,11.2,6.7,73.3,4.736,100.0,41.67,27.8,1002.9,11.5,12.1,216.3,18.6,10.0,89.0,6.9,8.15,0.4,3.0,0.0,0.0,1.0,0.0,0.0,7.200000000000001,-4.799999999999999,-6.700000000000001,0
14.0,18.3,10.6,14.0,8.1,68.7,1.598,100.0,37.5,29.7,1015.8,5.6,10.8,259.0,22.3,9.0,81.0,5.1,5.6,0.4,3.0,0.0,0.0,1.0,0.0,0.0,7.700000000000001,-0.5,2.4000000000000004,1
16.9,23.6,11.5,16.9,8.4,59.0,0.0,0.0,0.0,21.5,1025.4,0.4,11.1,304.0,26.2,9.0,78.5,11.75,13.2,0.75,3.0,1.0,0.0,0.0,0.0,0.0,12.100000000000001,2.1999999999999993,2.8999999999999986,0
19.8,25.1,14.9,19.8,9.1,51.1,0.0,0.0,0.0,23.2,1017.2,0.6,10.3,312.3,27.1,9.0,68.5,17.950000000000003,18.75,1.25,3.0,1.0,0.0,0.0,0.0,0.0,10.200000000000001,-1.0,2.900000000000002,1
